N/A,N/A
13.08,0.26
N/A,1.20
58.23,1.87
47.50,0.53
N/A,N/A
N/A,-0.13
33.21,2.60
22.44,1.40
N/A,N/A
N/A,-0.238
N/A,-0.551
N/A,-1.93
N/A,-0.18
N/A,-0.8000
N/A,-0.96
77.373,0.550
N/A,-0.73
20.06,1.62
N/A,N/A
12.45,1.92
12.40,1.92
N/A,N/A
30.22,5.12
15.64,1.18
N/A,N/A
30.37,1.39
N/A,N/A
19.09,1.56
N/A,-0.04
N/A,-1.54
12.267,2.530
N/A,0.4410
42.79,3.25
22.516,1.409
47.969,0.160
5.49,3.62
6.457,0.230
N/A,N/A
N/A,1.85
N/A,N/A
179.26,0.07
N/A,1.62
N/A,N/A
131.02,0.11
12.83,4.72
17.155,1.886
9.55,3.60
6.75,0.73
21.48,2.13
36.68,17.35
16.48,2.57
36.35,0.23
12.222,16.310
19.96,6.29
3.18,4.49
N/A,-9.09
22.41,0.69
N/A,N/A
10.67,1.26
28.57,1.42
19.69,4.15
51.90,0.32
24.04,1.21
22.66,2.70
15.69,1.93
N/A,-1.95
N/A,-0.322
N/A,-1.0970
13.963,0.564
196.91,0.19
N/A,-0.562
312.20,0.05
27.46,0.13
N/A,N/A
N/A,-0.3500
93.04,0.29
N/A,-1.076
N/A,N/A
19.13,1.75
N/A,-1.64
N/A,-0.152
21.55,1.42
38.33,0.24
N/A,-0.06
N/A,N/A
N/A,-3.37
25.32,3.53
N/A,-0.2060
N/A,-0.18
31.29,2.15
22.143,5.303
N/A,-0.12
N/A,-2.395
N/A,N/A
23.18,1.92
10.02,2.59
18.23,2.19
N/A,-0.47
N/A,-0.117
15.669,8.870
N/A,N/A
N/A,-0.711
16.49,0.84
N/A,-1.0950
9.14,2.18
29.25,1.38
13.68,1.86
21.17,1.69
12.318,2.742
N/A,-23.78
N/A,-1.277
13.87,0.75
N/A,-0.26
22.438,2.479
N/A,-2.1110
N/A,-5.1780
N/A,N/A
35.333,2.270
N/A,N/A
30.31,3.65
23.263,1.022
N/A,-2.1030
19.60,8.17
23.6548,2.8100
22.79,2.61
17.41,3.31
26.12,2.32
18.13,0.75
872.05,0.04
N/A,1.28
31.00,0.69
29.545,0.539
N/A,-20.5820
N/A,-1.60
N/A,N/A
26.20,1.35
24.45,3.80
95.95,0.95
N/A,-2.24
N/A,-0.12
15.10,3.56
15.074,3.720
N/A,-8.18
N/A,-0.63
24.30,2.86
N/A,-0.66
17.46,1.42
N/A,-0.01
139.11,0.30
17.9362,1.4090
29.17,0.47
N/A,-0.22
9.72,2.33
27.24,0.86
N/A,-1.86
N/A,-0.96
N/A,N/A
26.09,0.34
N/A,N/A
N/A,-2.45
37.65,1.76
N/A,-0.69
N/A,-2.03
44.079,0.700
N/A,-0.13
N/A,-0.03
